track_id,track_name,danceability,energy,tempo,loudness,valence,speechiness,instrumentalness,liveness,acousticness
5i6KIRmxfGyVEGcG44YpZs,Red Cat,0.943,0.62,125.015,-6.153,0.0947,0.292,0.894,0.0845,0.109
0xPHSq6w4bvHBwqU6xWe2u,Tienes Flow - Mix 2019,0.88,0.613,102.983,-6.337,0.77,0.0867,1.2e-06,0.0482,0.123
5e0PwEGe79HnekZ2sonCpK,Vuelo,0.717,0.452,123.215,-8.81,0.802,0.231,0.0,0.58,0.754
44pgUrLmuGZ5v83AIHgeQZ,Bailé,0.775,0.551,105.024,-8.935,0.505,0.0286,2.67e-05,0.125,0.417
4YKIrD8XK51XIsqJEpB1Q0,Alitas de mar (feat. Juanito Makandé),0.653,0.606,157.833,-6.371,0.523,0.0367,0.0,0.101,0.578
2T5NBwKRySiCR78vVk08vr,BLIND (feat. Young Thug),0.709,0.679,162.973,-6.503,0.754,0.346,0.0,0.0971,0.0115
4esOae7i4rqTbAu9o5Pxco,Girl on Fire,0.482,0.706,92.494,-5.762,0.144,0.0609,0.00106,0.105,0.135
1kiuJUVxQim9emG3caWlpu,Ya No Más,0.711,0.674,153.185,-7.121,0.758,0.0421,2.58e-05,0.0985,0.39
0kQrU0A42AWEKZITjyuGNL,Girls Just Wanna Have Some,0.67,0.629,114.995,-8.489,0.454,0.0324,0.0959,0.0914,0.189
5sBplhIrmzA4kQGyIOpmDf,Lemonade (Feat. Roddy Ricch & Don Toliver) [Remix],0.832,0.549,140.045,-8.259,0.384,0.0602,0.0,0.11,0.168
3eekarcy7kvN4yt5ZFzltW,HIGHEST IN THE ROOM,0.598,0.427,76.469,-8.764,0.0605,0.0317,5.83e-06,0.21,0.0546
1As4KC3YYpu89aBt7EqL2m,Call on Me,0.643,0.793,126.32,-8.944,0.198,0.326,0.103,0.458,0.00212
7hUraNVQaAxbX6RbaGNPSB,Back (feat. Yo Gotti),0.806,0.718,98.523,-4.212,0.581,0.0879,0.0,0.398,0.133
